index,Bool_hp,Bool_hpdhw,E_bu,E_budhw,E_cons,E_hp,E_hpdhw,Q_dhwst_hd,Q_hp_sh,Q_hp_ts,Q_loss_dhwst,Q_loss_ts,Q_ts,Q_ts_delta,Q_ts_sh,T_dhwst,T_ts,Set_T,Temp,Req_kWh,Req_kWh_DHW,Temp_supply,Temp_supply_tank,COP_SH,COP_tank,COP_DHW,hp_sh_cons,hp_tank_cons,hp_dhw_cons,Price_flat,Price_DT,Export_price,Price_flat_mod,Price_DT_mod,T_var,Cooling,season,T_aux_supply
2017-01-02 00:00:00+01:00,1.0,0.0,0.015013529581280329,0.0,1.4650135295812805,1.45,0.0,0.0,0.0,2.6395135295812797,0.0,0.0,0.022039075654902263,0.022039075654594408,2.6174744539266857,313.15,315.41406748053413,293.15,269.95,3.3132,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05185,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 00:15:00+01:00,0.0,1.0,0.0,0.0,1.4499999999999995,0.0,1.4499999999999995,0.0,0.0,0.0,0.00448803063080036,0.022039075654338932,0.0,-0.022039075654447515,0.0,323.2556550403845,315.4116925801403,293.15,269.95,3.3132,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05185,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 00:30:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.004485148613495596,0.022039075654338932,0.0,0.0,2.6024609243455523,323.2363225032574,315.4116925801403,293.15,269.95,3.3132,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05185,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 00:45:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.0044822684468965104,0.022039075654338932,0.0,0.0,2.6024609243455523,323.21700238064153,315.4116925801403,293.15,269.95,3.3132,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05185,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 01:00:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.004479390129814653,0.022039075654338932,0.0,0.0,2.6024609243455523,323.1976946645647,315.4116925801403,293.15,270.15,1.24486,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05004,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 01:15:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.004476513661062345,0.022039075654338932,0.0,0.0,2.6024609243455523,323.1783993470602,315.4116925801403,293.15,270.15,1.24486,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05004,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 01:30:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.004473639039452672,0.022039075654338932,0.0,0.0,2.6024609243455523,323.159116420166,315.4116925801403,293.15,270.15,1.24486,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05004,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 01:45:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.0044707662637994755,0.022039075654338932,0.0,0.0,2.6024609243455523,323.13984587592546,315.4116925801403,293.15,270.15,1.24486,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.05004,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 02:00:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.00446789533291736,0.022039075654338932,0.0,0.0,2.6024609243455523,323.12058770638714,315.4116925801403,293.15,269.75,1.942735,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.04834,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 02:15:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.004465026245621707,0.022039075654338932,0.0,0.0,2.6024609243455523,323.10134190360424,315.4116925801403,293.15,269.75,1.942735,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.04834,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
2017-01-02 02:30:00+01:00,1.0,0.0,0.0,0.0,1.45,1.45,0.0,0.0,0.0,2.6245,0.00446215900072864,0.022039075654338932,0.0,0.0,2.6024609243455523,323.0821084596356,315.4116925801403,293.15,269.75,1.942735,0.0,315.4116925801403,319.1732794243673,2.06,1.81,1.62,5.5,5.8,5.8,0.29000000000000004,0.1646,0.04834,0.1716,0.13003399999999998,-1.6749999999999983,0,0.0,319.1732794243673
