index,Bool_hp,Bool_hpdhw,E_bu,E_budhw,E_cons,E_hp,E_hpdhw,Q_dhwst_hd,Q_hp_sh,Q_hp_ts,Q_loss_dhwst,Q_loss_ts,Q_ts,Q_ts_delta,Q_ts_sh,T_dhwst,T_ts,Set_T,Temp,Req_kWh,Req_kWh_DHW,Temp_supply,Temp_supply_tank,COP_SH,COP_tank,COP_DHW,hp_sh_cons,hp_tank_cons,hp_dhw_cons,Price_flat,Price_DT,Export_price,Price_flat_mod,Price_DT_mod,T_var,Cooling,season,E_PV,T_aux_supply
2017-01-02 03:30:00+01:00,1.0,0.0,0.0,0.0,0.9374466019417492,0.9374466019417492,0.0,0.0,1.931140000000004,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.25,2.7888,0.0327158333333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,20,20,20,20,20,0.0,0,0.0
2017-01-02 03:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.25,2.7888,0.163375416666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,20,20,20,20,20,0.0,0,0.0
2017-01-02 04:00:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.04999999999995,1.2498775,0.00135083333333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 04:15:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.04999999999995,1.2498775,0.00760291666666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 04:30:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.04999999999995,1.2498775,0.0,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 04:45:00+01:00,1.0,0.0,0.0,0.0,0.9654368932038836,0.9654368932038836,0.0,0.0,1.9888000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.04999999999995,1.2498775,0.0,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 05:00:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.65,1.3716975,0.0030854166666666604,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 05:15:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.65,1.3716975,0.0395758333333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 05:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.65,1.3716975,0.0724645833333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
2017-01-02 05:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.65,1.3716975,0.19025875,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.1646,100,100,100,100,100,0.0,0,0.0
